15	21
21	15
15	49
49	15
15	28
28	15
21	70
70	21
21	74
74	21
64	69
69	64
64	60
60	64
64	37
37	64
69	73
73	69
69	19
19	69
81	85
85	81
81	62
62	81
81	90
90	81
85	70
70	85
85	87
87	85
62	50
50	62
62	97
97	62
16	93
93	16
16	72
72	16
16	10
10	16
93	77
77	93
93	14
14	93
53	87
87	53
53	38
38	53
53	18
18	53
87	33
33	87
48	54
54	48
48	72
72	48
48	27
27	48
54	80
80	54
54	7
7	54
38	52
52	38
38	79
79	38
46	66
66	46
46	59
59	46
46	29
29	46
66	84
84	66
66	60
60	66
2	11
11	2
2	25
25	2
2	35
35	2
11	4
4	11
11	5
5	11
31	56
56	31
31	43
43	31
31	36
36	31
56	34
34	56
56	45
45	56
72	51
51	72
40	68
68	40
40	95
95	40
40	78
78	40
68	3
3	68
68	61
61	68
9	99
99	9
9	28
28	9
9	47
47	9
99	12
12	99
99	23
23	99
32	94
94	32
32	71
71	32
32	79
79	32
94	89
89	94
94	74
74	94
42	59
59	42
42	91
91	42
42	19
19	42
59	13
13	59
29	98
98	29
29	96
96	29
98	90
90	98
98	65
65	98
28	73
73	28
44	77
77	44
44	17
17	44
44	25
25	44
77	75
75	77
24	83
83	24
24	23
23	24
24	57
57	24
83	39
39	83
83	97
97	83
25	22
22	25
17	41
41	17
17	12
12	17
39	0
0	39
39	89
89	39
86	88
88	86
86	4
4	86
86	18
18	86
88	78
78	88
88	30
30	88
75	76
76	75
75	82
82	75
76	58
58	76
76	63
63	76
71	41
41	71
71	1
1	71
50	95
95	50
50	14
14	50
95	5
5	95
91	4
4	91
91	20
20	91
26	82
82	26
26	12
12	26
26	33
33	26
82	55
55	82
0	33
33	0
0	8
8	0
73	84
84	73
30	70
70	30
30	10
10	30
6	36
36	6
6	45
45	6
6	63
63	6
36	52
52	36
45	61
61	45
3	37
37	3
3	34
34	3
37	27
27	37
18	52
52	18
1	67
67	1
1	22
22	1
67	20
20	67
67	92
92	67
84	22
22	84
63	65
65	63
34	55
55	34
55	80
80	55
60	58
58	60
23	51
51	23
58	35
35	58
78	80
80	78
41	10
10	41
20	7
7	20
90	57
57	90
89	96
96	89
5	49
49	5
51	19
19	51
14	96
96	14
65	74
74	65
57	97
97	57
92	8
8	92
92	47
47	92
27	13
13	27
61	35
35	61
47	79
79	47
13	43
43	13
43	49
49	43
7	8
8	7
